pattern,support,gain
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||bonus_success_Puneri_Paltan_vs_Telugu_Titans_null_early_zero,2,1.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,2,1.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_null_early_zero||bonus_success_Patna_Pirates_vs_Telugu_Titans_null_early_zero,1,0.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,4,-1.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,4,-1.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,3,-1.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_null_early_zero,2,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_null_early_zero,2,-1.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_late_single,1,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero,1,-1.0
