pattern,support,gain
empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,5,14.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,6,11.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,9,8.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,4,7.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,7,6.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,17,-1.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,12,-1.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriorz_unknown_early_zero,8,-1.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,3,-1.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_high,3,-1.0
