pattern,support,gain
doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single||doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single,9,8.0
doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single||doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,3,5.0
doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,4,3.0
doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,4,3.0
doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single,4,3.0
doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single,19,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,15,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_right_cover_early_zero,3,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_right_corner_early_zero,3,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_left_cover_early_zero,3,-1.0
