pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single,3,2.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single||bonus_success_Tamil_Thalaivas_vs_Puneri_Paltan_right_cover_early_zero,3,2.0
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,3,2.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single||doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_high,2,1.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_high||doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,2,1.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,9,-1.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_single,9,-1.0
bonus_success_Tamil_Thalaivas_vs_Puneri_Paltan_right_cover_early_zero,4,-1.0
doordie_success_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_high,2,-1.0
