pattern,support,gain
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,2,3.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,3,2.0
bonus_success_U_Mumba_vs_Haryana_Steelers_right_cover_early_zero||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero||doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,2,1.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single,7,-1.0
doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero,6,-1.0
bonus_success_U_Mumba_vs_Haryana_Steelers_right_corner_early_zero,2,-1.0
doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_high,2,-1.0
bonus_success_U_Mumba_vs_Haryana_Steelers_right_cover_early_zero,2,-1.0
