pattern,support,gain
regular_success_nan_vs_Bengaluru_Bulls_none_early_single||regular_success_nan_vs_Bengaluru_Bulls_none_early_single,5,4.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||regular_success_nan_vs_Bengaluru_Bulls_none_early_single||regular_success_nan_vs_Bengaluru_Bulls_none_early_single,2,3.0
regular_success_nan_vs_Bengaluru_Bulls_none_early_single||bonus_success_nan_vs_Bengaluru_Bulls_unknown_early_zero,2,1.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||regular_success_nan_vs_Bengaluru_Bulls_none_early_single,2,1.0
regular_success_nan_vs_Bengaluru_Bulls_none_early_single,10,-1.0
bonus_success_nan_vs_Bengaluru_Bulls_unknown_early_zero,4,-1.0
bonus_success_nan_vs_Bengaluru_Bulls_all_rounder_early_zero,2,-1.0
allout_success_nan_vs_Bengaluru_Bulls_none_early_single,2,-1.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,2,-1.0
bonus_success_nan_vs_Bengaluru_Bulls_none_early_zero,1,-1.0
