pattern,support,gain
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,5.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,4,3.0
regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,3,2.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,2.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,2,1.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,8,-1.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,8,-1.0
regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,7,-1.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriors_null_early_zero,4,-1.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,2,-1.0
