pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_right_corner_early_zero,2,3.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_right_corner_early_zero||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,2,3.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_right_corner_early_zero,2,1.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_right_corner_early_zero||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_left_corner_early_zero,2,1.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_left_corner_early_zero||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,9,-1.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_right_corner_early_zero,2,-1.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_left_corner_early_zero,2,-1.0
