pattern,support,gain
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,3,5.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,2,5.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,4,3.0
doordie_unknown_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_zero,4,3.0
doordie_unknown_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_zero,2,3.0
doordie_unknown_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_zero,8,-1.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,5,-1.0
doordie_success_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_single,2,-1.0
doordie_success_Patna_Pirates_vs_Bengaluru_Bulls_none_early_single,2,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_single,2,-1.0
