pattern,support,gain
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single||doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero,4,3.0
doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero,4,3.0
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,4,3.0
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single||doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero,2,3.0
doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,2,3.0
doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,2,3.0
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,2,3.0
doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero||doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,3,2.0
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,10,-1.0
doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero,8,-1.0
