pattern,support,gain
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,10,19.0
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,15,14.0
regular_success_U_Mumba_vs_Telugu_Titans_none_early_single||regular_success_U_Mumba_vs_Telugu_Titans_none_early_single,13,12.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,11,10.0
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,36,-1.0
regular_success_U_Mumba_vs_Telugu_Titans_none_early_single,27,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,17,-1.0
empty_unknown_U_Mumba_vs_Telugu_Titans_none_early_zero,12,-1.0
bonus_success_U_Mumba_vs_Telugu_Titans_unknown_early_zero,11,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_null_early_zero,10,-1.0
