pattern,support,gain
empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero,4,3.0
empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero,2,3.0
regular_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero||regular_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero,2,1.0
empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_high,1,0.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_high||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,1,0.0
empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero,7,-1.0
regular_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero,3,-1.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_high,1,-1.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,1,-1.0
doordie_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,1,-1.0
