pattern,support,gain
doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero||doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero,9,8.0
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single||doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero,4,3.0
bonus_success_U_Mumba_vs_Patna_Pirates_null_early_zero||doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero||doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single,3,2.0
doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero,18,-1.0
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single,7,-1.0
doordie_success_Haryana_Steelers_vs_Patna_Pirates_none_early_single,6,-1.0
doordie_unknown_Haryana_Steelers_vs_Patna_Pirates_none_early_zero,4,-1.0
bonus_success_U_Mumba_vs_Patna_Pirates_null_early_zero,4,-1.0
bonus_success_U_Mumba_vs_Patna_Pirates_nan_early_zero,3,-1.0
