pattern,support,gain
doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single||doordie_unknown_Haryana_Steelers_vs_U_Mumba_none_early_zero||doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single,3,5.0
doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single||doordie_unknown_Haryana_Steelers_vs_U_Mumba_none_early_zero,4,3.0
doordie_unknown_Haryana_Steelers_vs_U_Mumba_none_early_zero||doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single,4,3.0
doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single||doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single,4,3.0
bonus_success_Jaipur_Pink_Panthers_vs_U_Mumba_unknown_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_zero,3,2.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_zero,3,2.0
doordie_success_Haryana_Steelers_vs_U_Mumba_none_early_single,9,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_zero,7,-1.0
doordie_unknown_Haryana_Steelers_vs_U_Mumba_none_early_zero,5,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_U_Mumba_unknown_early_zero,3,-1.0
