pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,4,3.0
empty_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||empty_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,2,1.0
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||regular_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,1,0.0
regular_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,1,0.0
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||bonus_success_U.P._Yoddha_vs_Patna_Pirates_null_early_zero,1,0.0
bonus_success_U.P._Yoddha_vs_Patna_Pirates_null_early_zero||doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,1,0.0
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,7,-1.0
empty_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,3,-1.0
regular_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,1,-1.0
bonus_success_U.P._Yoddha_vs_Patna_Pirates_null_early_zero,1,-1.0
