pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,7,20.0
doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,8,15.0
doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,9,8.0
empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,3,8.0
empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,4,7.0
empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero||empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,5,4.0
doordie_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,11,-1.0
empty_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,6,-1.0
doordie_success_U.P._Yoddha_vs_U.P._Yoddhas_none_late_single,1,-1.0
regular_unknown_U.P._Yoddha_vs_U.P._Yoddhas_none_early_zero,1,-1.0
