pattern,support,gain
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,6,5.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,3,5.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,3,5.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,5,4.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,4,3.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,4,3.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriorz_unknown_early_zero||regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,2,1.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriorz_none_early_zero,12,-1.0
regular_success_Puneri_Paltan_vs_Bengal_Warriorz_none_early_single,12,-1.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriorz_unknown_early_zero,3,-1.0
