pattern,support,gain
empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,14,27.0
empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,24,23.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,13,12.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||doordie_success_Puneri_Paltan_vs_U_Mumba_none_early_single,10,9.0
doordie_success_Puneri_Paltan_vs_U_Mumba_none_early_single||doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,7,6.0
empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||regular_success_Puneri_Paltan_vs_U_Mumba_none_early_single,7,6.0
empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,42,-1.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,30,-1.0
doordie_success_Puneri_Paltan_vs_U_Mumba_none_early_single,21,-1.0
regular_success_Puneri_Paltan_vs_U_Mumba_none_early_single,13,-1.0
