pattern,support,gain
doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single||doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single,8,7.0
doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single||doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single||doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single,3,5.0
doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single||doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single||bonus_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_null_early_zero,2,3.0
doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single||bonus_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_null_early_zero,2,1.0
doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_zero,2,1.0
doordie_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_single,14,-1.0
bonus_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_null_early_zero,3,-1.0
regular_unknown_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_zero,2,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_zero,2,-1.0
bonus_success_Tamil_Thalaivas_vs_Bengaluru_Bulls_raider_early_zero,1,-1.0
