pattern,support,gain
regular_success_nan_vs_5_Raids_none_early_single||regular_success_nan_vs_5_Raids_none_early_single||regular_success_nan_vs_5_Raids_none_early_single,3,5.0
regular_success_nan_vs_5_Raids_none_early_single||regular_success_nan_vs_5_Raids_none_early_single||regular_success_nan_vs_5_Raids_none_early_single||regular_success_nan_vs_5_Raids_none_early_single,2,5.0
regular_success_nan_vs_5_Raids_none_early_single||regular_success_nan_vs_5_Raids_none_early_single,5,4.0
empty_unknown_nan_vs_5_Raids_none_early_zero||regular_success_nan_vs_5_Raids_none_early_single||regular_success_nan_vs_5_Raids_none_early_single,2,3.0
empty_unknown_nan_vs_5_Raids_none_early_zero||regular_success_nan_vs_5_Raids_none_early_single,3,2.0
regular_success_nan_vs_5_Raids_none_early_single||bonus_success_nan_vs_5_Raids_unknown_early_zero,2,1.0
empty_unknown_nan_vs_5_Raids_none_early_zero||empty_unknown_nan_vs_5_Raids_none_early_zero,2,1.0
regular_success_nan_vs_5_Raids_none_early_single,10,-1.0
empty_unknown_nan_vs_5_Raids_none_early_zero,5,-1.0
bonus_success_nan_vs_5_Raids_unknown_early_zero,2,-1.0
