pattern,support,gain
regular_success_nan_vs_Bengal_Warriorz_none_early_single||regular_success_nan_vs_Bengal_Warriorz_none_early_single||regular_success_nan_vs_Bengal_Warriorz_none_early_single,5,9.0
regular_success_nan_vs_Bengal_Warriorz_none_early_single||regular_success_nan_vs_Bengal_Warriorz_none_early_single,9,8.0
regular_success_nan_vs_Bengal_Warriorz_none_early_single||regular_success_nan_vs_Bengal_Warriorz_none_early_single||regular_success_nan_vs_Bengal_Warriorz_none_early_single||regular_success_nan_vs_Bengal_Warriorz_none_early_single,3,8.0
regular_success_nan_vs_Bengal_Warriorz_none_early_single||regular_success_nan_vs_Bengal_Warriorz_none_early_single||bonus_success_nan_vs_Bengal_Warriorz_unknown_early_zero,3,5.0
regular_success_nan_vs_Bengal_Warriorz_none_early_single||bonus_success_nan_vs_Bengal_Warriorz_unknown_early_zero,5,4.0
bonus_success_nan_vs_Bengal_Warriorz_unknown_early_zero||regular_success_nan_vs_Bengal_Warriorz_none_early_single,4,3.0
regular_success_nan_vs_Bengal_Warriorz_none_early_single,16,-1.0
bonus_success_nan_vs_Bengal_Warriorz_unknown_early_zero,8,-1.0
allout_success_nan_vs_Bengal_Warriorz_none_early_high,2,-1.0
doordie_success_nan_vs_Bengal_Warriorz_none_early_single,2,-1.0
