pattern,support,gain
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,8,15.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,13,12.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,4,11.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_null_early_zero||bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_null_early_zero,6,5.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,3,2.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,23,-1.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_null_early_zero,12,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,9,-1.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_high,4,-1.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_nan_early_zero,4,-1.0
