pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,5,14.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,6,11.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,8,7.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,3,5.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,5,4.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,2,3.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,2,1.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,11,-1.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,7,-1.0
bonus_success_Bengaluru_Bulls_vs_Gujarat_Giants_left_cover_early_zero,2,-1.0
