pattern,support,gain
doordie_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_single||bonus_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_null_early_zero,4,3.0
doordie_unknown_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_single,3,2.0
bonus_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_null_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_unknown_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_unknown_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_zero,8,-1.0
doordie_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_none_early_single,8,-1.0
bonus_success_Bengaluru_Bulls_vs_Tamil_Thalaivas_null_early_zero,7,-1.0
doordie_success_Gujarat_Giants_vs_Tamil_Thalaivas_none_early_single,4,-1.0
bonus_success_Gujarat_Giants_vs_Tamil_Thalaivas_null_early_zero,3,-1.0
doordie_unknown_Gujarat_Giants_vs_Tamil_Thalaivas_none_early_zero,2,-1.0
