pattern,support,gain
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single||doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,4,3.0
doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero||doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,3,2.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single||doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,3,2.0
doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single||doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,3,2.0
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,3,2.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,8,-1.0
doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,8,-1.0
doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,7,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,7,-1.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_null_early_zero,3,-1.0
