pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,14,13.0
doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single,12,11.0
doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,6,11.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single,11,10.0
doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,11,10.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,5,9.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single,5,9.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,32,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single,27,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_null_early_zero,5,-1.0
