pattern,support,gain
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,10,9.0
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,5,9.0
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,8,7.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,8,7.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,5,4.0
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,23,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,23,-1.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,7,-1.0
doordie_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,6,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_right_cover_early_zero,4,-1.0
