pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,12,11.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single,12,11.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,6,11.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,9,8.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single,7,6.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_null_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,6,5.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,34,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single,25,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_null_early_zero,11,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_high,7,-1.0
