pattern,support,gain
bonus_success_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_null_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_single,3,2.0
doordie_success_Patna_Pirates_vs_Bengaluru_Bulls_none_early_single||doordie_success_Patna_Pirates_vs_Bengaluru_Bulls_none_early_single,3,2.0
doordie_success_Patna_Pirates_vs_Bengaluru_Bulls_none_early_single,9,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_single,6,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_null_early_zero,5,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero,5,-1.0
doordie_unknown_Patna_Pirates_vs_Bengaluru_Bulls_none_early_zero,5,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_high,4,-1.0
bonus_success_Patna_Pirates_vs_Bengaluru_Bulls_defender_early_zero,4,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_defender_early_zero,2,-1.0
