pattern,support,gain
doordie_success_Patna_Pirates_vs_U.P._Yoddha_none_early_single||doordie_success_Patna_Pirates_vs_U.P._Yoddha_none_early_single,3,2.0
doordie_success_Patna_Pirates_vs_U.P._Yoddha_none_early_single||doordie_unknown_Patna_Pirates_vs_U.P._Yoddha_none_early_zero,2,1.0
doordie_unknown_Patna_Pirates_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Patna_Pirates_vs_U.P._Yoddha_none_early_zero,2,1.0
doordie_success_Patna_Pirates_vs_U.P._Yoddha_none_early_single,10,-1.0
doordie_unknown_Patna_Pirates_vs_U.P._Yoddha_none_early_zero,5,-1.0
regular_success_Patna_Pirates_vs_U.P._Yoddha_none_early_single,4,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_zero,3,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_U.P._Yoddha_none_early_single,2,-1.0
bonus_success_Bengaluru_Bulls_vs_U.P._Yoddha_null_early_zero,2,-1.0
bonus_success_Patna_Pirates_vs_U.P._Yoddha_all_rounder_early_zero,2,-1.0
