pattern,support,gain
regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,11,21.0
regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,18,17.0
regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,6,17.0
empty_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero,6,5.0
regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero,6,5.0
bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,5,4.0
empty_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,4,3.0
regular_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,29,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero,13,-1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,12,-1.0
