pattern,support,gain
bonus_success_nan_vs_U.P._Yoddhas_unknown_early_zero||regular_success_nan_vs_U.P._Yoddhas_none_early_single,9,8.0
regular_success_nan_vs_U.P._Yoddhas_none_early_single||bonus_success_nan_vs_U.P._Yoddhas_unknown_early_zero,7,6.0
regular_success_nan_vs_U.P._Yoddhas_none_early_single||empty_unknown_nan_vs_U.P._Yoddhas_none_early_zero,7,6.0
empty_unknown_nan_vs_U.P._Yoddhas_none_early_zero||empty_unknown_nan_vs_U.P._Yoddhas_none_early_zero,7,6.0
regular_success_nan_vs_U.P._Yoddhas_none_early_single||regular_success_nan_vs_U.P._Yoddhas_none_early_single,6,5.0
empty_unknown_nan_vs_U.P._Yoddhas_none_early_zero||bonus_success_nan_vs_U.P._Yoddhas_unknown_early_zero,6,5.0
regular_success_nan_vs_U.P._Yoddhas_none_early_single,26,-1.0
empty_unknown_nan_vs_U.P._Yoddhas_none_early_zero,23,-1.0
bonus_success_nan_vs_U.P._Yoddhas_unknown_early_zero,21,-1.0
regular_success_nan_vs_U.P._Yoddhas_none_early_high,7,-1.0
