pattern,support,gain
doordie_success_Telugu_Titans_vs_Puneri_Paltan_none_early_single||doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero,2,1.0
bonus_success_Telugu_Titans_vs_Puneri_Paltan_null_early_zero||doordie_success_Telugu_Titans_vs_Puneri_Paltan_none_early_single,1,0.0
doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero,1,0.0
doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero||bonus_success_Telugu_Titans_vs_Puneri_Paltan_all_rounder_early_zero,1,0.0
bonus_success_Telugu_Titans_vs_Puneri_Paltan_all_rounder_early_zero||bonus_success_Telugu_Titans_vs_Puneri_Paltan_null_early_zero,1,0.0
doordie_unknown_Telugu_Titans_vs_Puneri_Paltan_none_early_zero,4,-1.0
bonus_success_Telugu_Titans_vs_Puneri_Paltan_null_early_zero,3,-1.0
doordie_success_Telugu_Titans_vs_Puneri_Paltan_none_early_single,3,-1.0
bonus_success_Telugu_Titans_vs_Puneri_Paltan_all_rounder_early_zero,1,-1.0
bonus_success_Telugu_Titans_vs_Puneri_Paltan_none_early_zero,1,-1.0
