pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Patna_Pirates_vs_Bengal_Warriors_none_early_zero,6,5.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||bonus_success_U_Mumba_vs_Bengal_Warriors_null_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,3,5.0
bonus_success_U_Mumba_vs_Bengal_Warriors_null_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,4,3.0
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single||bonus_success_U_Mumba_vs_Bengal_Warriors_null_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||bonus_success_U_Mumba_vs_Bengal_Warriors_null_early_zero,3,2.0
doordie_unknown_Patna_Pirates_vs_Bengal_Warriors_none_early_zero,11,-1.0
bonus_success_U_Mumba_vs_Bengal_Warriors_null_early_zero,7,-1.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,7,-1.0
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single,6,-1.0
doordie_success_Patna_Pirates_vs_Bengal_Warriors_none_early_single,3,-1.0
