pattern,support,gain
regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_single,2,1.0
regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_single||bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_unknown_early_zero,2,1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_unknown_early_zero||regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_single,2,1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_unknown_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_zero,2,1.0
regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_single,7,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_unknown_early_zero,4,-1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_zero,4,-1.0
regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_high,1,-1.0
allout_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_single,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriorz_none_early_zero,1,-1.0
