pattern,support,gain
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single||doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero,4,3.0
empty_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero||regular_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single,4,3.0
doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero||doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single,3,2.0
bonus_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_unknown_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero,9,-1.0
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single,6,-1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_zero,6,-1.0
regular_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_none_early_single,6,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Patna_Pirates_unknown_early_zero,6,-1.0
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_high,3,-1.0
