pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,2,1.0
doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||regular_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,1,0.0
regular_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,1,0.0
doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||regular_unknown_Gujarat_Giants_vs_Haryana_Steelers_none_early_zero,1,0.0
doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,4,-1.0
doordie_unknown_Gujarat_Giants_vs_Haryana_Steelers_none_early_zero,3,-1.0
regular_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,1,-1.0
regular_unknown_Gujarat_Giants_vs_Haryana_Steelers_none_early_zero,1,-1.0
bonus_success_Gujarat_Giants_vs_Haryana_Steelers_raider_early_zero,1,-1.0
doordie_success_Gujarat_Giants_vs_Haryana_Steelers_none_early_high,1,-1.0
