pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,2,3.0
doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
bonus_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_right_corner_early_zero||doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,1,0.0
doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,1,0.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero||regular_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,1,0.0
doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,4,-1.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,2,-1.0
doordie_success_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_single,2,-1.0
bonus_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_right_corner_early_zero,1,-1.0
regular_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,1,-1.0
