pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single,4,3.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,4,3.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,4,3.0
empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,4,3.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,14,-1.0
empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,9,-1.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single,8,-1.0
regular_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,5,-1.0
regular_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single,5,-1.0
bonus_success_Tamil_Thalaivas_vs_Gujarat_Giants_left_cover_early_zero,3,-1.0
