pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,6,11.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,10,9.0
empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,4,7.0
empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,7,6.0
regular_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single||empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,5,4.0
empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,15,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,14,-1.0
bonus_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_null_early_zero,6,-1.0
regular_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,4,-1.0
