pattern,support,gain
empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,5,14.0
empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,6,11.0
doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,5,9.0
empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,9,8.0
doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,7,6.0
regular_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single||regular_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single,5,4.0
empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||regular_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single,4,3.0
empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,14,-1.0
regular_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single,11,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,9,-1.0
