pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,13,38.0
doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,14,27.0
empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,7,20.0
empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,9,17.0
doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,15,14.0
empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,12,11.0
bonus_success_Tamil_Thalaivas_vs_U_Mumba_unknown_early_zero||empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,3,2.0
empty_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,18,-1.0
doordie_unknown_Tamil_Thalaivas_vs_U_Mumba_none_early_zero,16,-1.0
bonus_success_Tamil_Thalaivas_vs_U_Mumba_unknown_early_zero,3,-1.0
