pattern,support,gain
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,5,9.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,9,8.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,8,7.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,8,7.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,4,7.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,4,7.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,3,2.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,23,-1.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,12,-1.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_all_rounder_early_zero,4,-1.0
