pattern,support,gain
bonus_success_Gujarat_Giants_vs_Puneri_Paltan_null_early_zero||doordie_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero,3,2.0
doordie_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero||bonus_success_Gujarat_Giants_vs_Puneri_Paltan_null_early_zero,1,0.0
doordie_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero,6,-1.0
doordie_success_Gujarat_Giants_vs_Puneri_Paltan_none_early_single,5,-1.0
bonus_success_Gujarat_Giants_vs_Puneri_Paltan_null_early_zero,4,-1.0
doordie_success_Gujarat_Giants_vs_Puneri_Paltan_none_early_high,2,-1.0
bonus_success_Gujarat_Giants_vs_Puneri_Paltan_all_rounder_early_zero,2,-1.0
regular_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero,1,-1.0
bonus_success_Gujarat_Giants_vs_Puneri_Paltan_raider_early_zero,1,-1.0
bonus_success_Gujarat_Giants_vs_Puneri_Paltan_left_corner_early_zero,1,-1.0
