pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,4,3.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single||doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single,4,3.0
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,2,3.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single||doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single||doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single,2,3.0
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,6,-1.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single,6,-1.0
bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_defender_early_zero,2,-1.0
bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_right_cover_early_zero,1,-1.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_high,1,-1.0
bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_unknown_early_zero,1,-1.0
