pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,4,3.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,2,3.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero||bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_left_cover_early_zero,1,0.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_left_cover_early_zero||doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,1,0.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single||doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_high,1,0.0
doordie_unknown_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_zero,8,-1.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_single,2,-1.0
bonus_success_Bengal_Warriors_vs_Tamil_Thalaivas_left_cover_early_zero,1,-1.0
doordie_success_Bengal_Warriors_vs_Tamil_Thalaivas_none_early_high,1,-1.0
