pattern,support,gain
empty_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero||regular_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,2,1.0
regular_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single||regular_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,2,1.0
regular_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,7,-1.0
empty_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero,4,-1.0
bonus_success_U.P._Yoddha_vs_Haryana_Steelers_nan_early_zero,3,-1.0
bonus_success_U.P._Yoddha_vs_Haryana_Steelers_null_early_zero,2,-1.0
regular_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_high,1,-1.0
regular_unknown_U.P._Yoddha_vs_Haryana_Steelers_none_early_zero,1,-1.0
allout_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,1,-1.0
doordie_success_U.P._Yoddha_vs_Haryana_Steelers_none_early_single,1,-1.0
