pattern,support,gain
empty_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,6,5.0
empty_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,3,5.0
regular_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single||empty_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero||bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_null_early_zero,2,1.0
bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_null_early_zero||doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,2,1.0
empty_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,12,-1.0
bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_null_early_zero,6,-1.0
regular_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,4,-1.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,3,-1.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,2,-1.0
