pattern,support,gain
doordie_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_single,20,19.0
doordie_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_single||bonus_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._unknown_early_zero,19,18.0
doordie_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_single,15,14.0
bonus_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_single,13,12.0
bonus_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,13,12.0
doordie_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,13,12.0
doordie_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_single,57,-1.0
bonus_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._unknown_early_zero,42,-1.0
doordie_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,41,-1.0
regular_success_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_single,16,-1.0
