pattern,support,gain
doordie_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single,17,16.0
doordie_unknown_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single,12,11.0
doordie_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_zero,11,10.0
regular_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single||regular_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single,10,9.0
doordie_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single,43,-1.0
doordie_unknown_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_zero,30,-1.0
regular_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single,19,-1.0
bonus_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_null_early_zero,18,-1.0
empty_unknown_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_zero,13,-1.0
doordie_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_high,7,-1.0
