pattern,support,gain
empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero,3,5.0
bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero,2,5.0
empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero,4,3.0
bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero,2,3.0
empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero||bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero,2,3.0
empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero||empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero,3,2.0
bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero,2,1.0
bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero||bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero,2,1.0
empty_unknown_Bengal_Warriors_vs_UP_Yoddhas_none_early_zero,7,-1.0
bonus_success_Bengal_Warriors_vs_UP_Yoddhas_unknown_early_zero,6,-1.0
