pattern,support,gain
doordie_success_Bengal_Warriors_vs_U_Mumba_none_early_single||doordie_success_Bengal_Warriors_vs_U_Mumba_none_early_single,19,18.0
doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero||doordie_success_Bengal_Warriors_vs_U_Mumba_none_early_single,15,14.0
doordie_success_Bengal_Warriors_vs_U_Mumba_none_early_single||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,13,12.0
doordie_success_Bengal_Warriors_vs_U_Mumba_none_early_single,46,-1.0
doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,39,-1.0
regular_success_Bengal_Warriors_vs_U_Mumba_none_early_single,19,-1.0
bonus_success_Bengal_Warriors_vs_U_Mumba_unknown_early_zero,14,-1.0
bonus_success_Bengal_Warriors_vs_U_Mumba_null_early_zero,11,-1.0
bonus_success_Bengal_Warriors_vs_U_Mumba_defender_early_zero,10,-1.0
empty_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,10,-1.0
