pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,4,7.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,6,5.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||regular_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,2,5.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,2,5.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||regular_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||regular_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,2,1.0
regular_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,1,0.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,8,-1.0
regular_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,2,-1.0
doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single,1,-1.0
