pattern,support,gain
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero||empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,4,3.0
doordie_success_nan_vs_Haryana_Steelers_none_early_single||bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero||empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,2,3.0
doordie_success_nan_vs_Haryana_Steelers_none_early_single||bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,2,1.0
empty_unknown_nan_vs_Haryana_Steelers_none_early_zero||bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,1,0.0
empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,5,-1.0
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,4,-1.0
doordie_success_nan_vs_Haryana_Steelers_none_early_single,2,-1.0
bonus_success_nan_vs_Haryana_Steelers_null_early_zero,2,-1.0
regular_success_nan_vs_Haryana_Steelers_none_early_single,1,-1.0
regular_success_nan_vs_Haryana_Steelers_none_early_high,1,-1.0
