pattern,support,gain
doordie_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_single,4,3.0
doordie_unknown_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
bonus_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_all_rounder_early_zero||doordie_unknown_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
doordie_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
doordie_unknown_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_zero,10,-1.0
doordie_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_single,7,-1.0
bonus_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_left_corner_early_zero,5,-1.0
bonus_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_left_cover_early_zero,2,-1.0
bonus_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_all_rounder_early_zero,2,-1.0
doordie_success_Dabang_Delhi_vs_Jaipur_Pink_Panthers_none_early_high,2,-1.0
