pattern,support,gain
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,3,5.0
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_nan_vs_Dabang_Delhi_K.C._unknown_early_zero||empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,3,5.0
bonus_success_nan_vs_Dabang_Delhi_K.C._unknown_early_zero||empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,5,4.0
regular_success_nan_vs_Dabang_Delhi_K.C._none_early_single||bonus_success_nan_vs_Dabang_Delhi_K.C._unknown_early_zero,4,3.0
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,4,3.0
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_nan_vs_Dabang_Delhi_K.C._unknown_early_zero,3,2.0
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||regular_success_nan_vs_Dabang_Delhi_K.C._none_early_single,3,2.0
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,11,-1.0
bonus_success_nan_vs_Dabang_Delhi_K.C._unknown_early_zero,8,-1.0
regular_success_nan_vs_Dabang_Delhi_K.C._none_early_single,7,-1.0
