pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,10,9.0
doordie_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single||doordie_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,8,7.0
empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero||empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,8,7.0
doordie_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero||doordie_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,6,5.0
doordie_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single||doordie_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,6,5.0
doordie_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,24,-1.0
doordie_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,21,-1.0
empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,19,-1.0
regular_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,11,-1.0
allout_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_high,5,-1.0
