pattern,support,gain
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,12,11.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,6,11.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,8,7.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,7,6.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,6,5.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,6,5.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,25,-1.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,18,-1.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,15,-1.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,11,-1.0
