pattern,support,gain
doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,4,3.0
doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single||doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single||doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single,2,3.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,2,3.0
doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single||doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single,3,2.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero||bonus_success_Telugu_Titans_vs_Gujarat_Giants_null_early_zero,2,1.0
doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero,9,-1.0
doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single,4,-1.0
bonus_success_Telugu_Titans_vs_Gujarat_Giants_null_early_zero,2,-1.0
bonus_success_U_Mumba_vs_Gujarat_Giants_none_early_zero,1,-1.0
doordie_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero,1,-1.0
