pattern,support,gain
doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,5,9.0
doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,3,8.0
doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,8,7.0
doordie_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero||doordie_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero,2,1.0
doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,11,-1.0
doordie_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero,6,-1.0
doordie_success_Patna_Pirates_vs_U_Mumba_none_early_single,2,-1.0
bonus_success_Dabang_Delhi_vs_U_Mumba_raider_early_zero,2,-1.0
doordie_success_Dabang_Delhi_vs_U_Mumba_none_early_high,1,-1.0
regular_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero,1,-1.0
