pattern,support,gain
doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single||doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single,21,20.0
doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero||doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single||doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single,8,15.0
doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single||doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single||doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single,8,15.0
doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single||doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero,12,11.0
doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero||doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single,11,10.0
doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single,49,-1.0
doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero,24,-1.0
regular_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single,11,-1.0
empty_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero,9,-1.0
bonus_success_Dabang_Delhi_vs_Bengal_Warriors_null_early_zero,7,-1.0
