pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,2,1.0
bonus_success_Bengaluru_Bulls_vs_U.P._Yoddhas_unknown_early_zero||doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,1,0.0
doordie_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,4,-1.0
doordie_unknown_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_zero,4,-1.0
bonus_success_Bengaluru_Bulls_vs_U.P._Yoddhas_unknown_early_zero,2,-1.0
bonus_success_Dabang_Delhi_vs_U.P._Yoddhas_unknown_early_zero,2,-1.0
empty_unknown_Dabang_Delhi_vs_U.P._Yoddhas_none_early_zero,2,-1.0
regular_success_Dabang_Delhi_vs_U.P._Yoddhas_none_early_single,2,-1.0
doordie_success_Dabang_Delhi_vs_U.P._Yoddhas_none_early_single,2,-1.0
allout_success_Bengaluru_Bulls_vs_U.P._Yoddhas_none_early_single,1,-1.0
