pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,3,5.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,2,5.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,5,4.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,8,-1.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,4,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_left_cover_early_zero,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_all_rounder_early_zero,1,-1.0
bonus_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,1,-1.0
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_high,1,-1.0
