pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,4,3.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,2,3.0
bonus_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_unknown_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,2,1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,9,-1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,4,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_unknown_early_zero,2,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_single,2,-1.0
